group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Means,Par,100000,,,26840542.0,ns,130
Means,Par,100000,,,26278916.0,ns,135
Means,Par,100000,,,27991583.0,ns,140
Means,Par,100000,,,27852292.0,ns,145
Means,Par,100000,,,30066250.0,ns,150
Means,Par,100000,,,30576791.0,ns,155
Means,Par,100000,,,33077583.0,ns,160
Means,Par,100000,,,31854708.0,ns,165
Means,Par,100000,,,32704500.0,ns,170
Means,Par,100000,,,34578125.0,ns,175
Means,Par,100000,,,37598292.0,ns,180
Means,Par,100000,,,38618333.0,ns,185
Means,Par,100000,,,39846041.0,ns,190
Means,Par,100000,,,39425833.0,ns,195
Means,Par,100000,,,40747708.0,ns,200
Means,Par,100000,,,41427375.0,ns,205
Means,Par,100000,,,42748208.0,ns,210
Means,Par,100000,,,46246041.0,ns,215
Means,Par,100000,,,45071542.0,ns,220
Means,Par,100000,,,46190250.0,ns,225
Means,Par,100000,,,46878834.0,ns,230
Means,Par,100000,,,46273417.0,ns,235
Means,Par,100000,,,49316750.0,ns,240
Means,Par,100000,,,52132500.0,ns,245
Means,Par,100000,,,50383083.0,ns,250
Means,Par,100000,,,52371625.0,ns,255
Means,Par,100000,,,53709584.0,ns,260
Means,Par,100000,,,54809209.0,ns,265
Means,Par,100000,,,55620667.0,ns,270
Means,Par,100000,,,54736500.0,ns,275
Means,Par,100000,,,58595125.0,ns,280
Means,Par,100000,,,59101750.0,ns,285
Means,Par,100000,,,57304458.0,ns,290
Means,Par,100000,,,60093000.0,ns,295
Means,Par,100000,,,59652041.0,ns,300
Means,Par,100000,,,63153792.0,ns,305
Means,Par,100000,,,62255709.0,ns,310
Means,Par,100000,,,62982709.0,ns,315
Means,Par,100000,,,64101125.0,ns,320
Means,Par,100000,,,62403959.0,ns,325
Means,Par,100000,,,62340250.0,ns,330
Means,Par,100000,,,65172458.0,ns,335
Means,Par,100000,,,71354458.0,ns,340
Means,Par,100000,,,72108625.0,ns,345
Means,Par,100000,,,72039500.0,ns,350
Means,Par,100000,,,71409417.0,ns,355
Means,Par,100000,,,71915500.0,ns,360
Means,Par,100000,,,74150875.0,ns,365
Means,Par,100000,,,74897000.0,ns,370
Means,Par,100000,,,76652667.0,ns,375
Means,Par,100000,,,77048583.0,ns,380
Means,Par,100000,,,78665250.0,ns,385
Means,Par,100000,,,78274542.0,ns,390
Means,Par,100000,,,82431250.0,ns,395
Means,Par,100000,,,79887875.0,ns,400
Means,Par,100000,,,81695667.0,ns,405
Means,Par,100000,,,83388125.0,ns,410
Means,Par,100000,,,84876667.0,ns,415
Means,Par,100000,,,82415208.0,ns,420
Means,Par,100000,,,86582375.0,ns,425
Means,Par,100000,,,90414375.0,ns,430
Means,Par,100000,,,88711792.0,ns,435
Means,Par,100000,,,90477041.0,ns,440
Means,Par,100000,,,88602417.0,ns,445
Means,Par,100000,,,91537583.0,ns,450
Means,Par,100000,,,93688166.0,ns,455
Means,Par,100000,,,91432041.0,ns,460
Means,Par,100000,,,94345958.0,ns,465
Means,Par,100000,,,95133291.0,ns,470
Means,Par,100000,,,95805083.0,ns,475
Means,Par,100000,,,95844292.0,ns,480
Means,Par,100000,,,96956584.0,ns,485
Means,Par,100000,,,96768083.0,ns,490
Means,Par,100000,,,97309041.0,ns,495
Means,Par,100000,,,98971333.0,ns,500
Means,Par,1000000,,,1342084.0,ns,3
Means,Par,1000000,,,2776750.0,ns,6
Means,Par,1000000,,,4263000.0,ns,9
Means,Par,1000000,,,6121833.0,ns,12
Means,Par,1000000,,,7371167.0,ns,15
Means,Par,1000000,,,9366084.0,ns,18
Means,Par,1000000,,,9939458.0,ns,21
Means,Par,1000000,,,11434833.0,ns,24
Means,Par,1000000,,,13314916.0,ns,27
Means,Par,1000000,,,14367458.0,ns,30
Means,Par,1000000,,,16159542.0,ns,33
Means,Par,1000000,,,17828959.0,ns,36
Means,Par,1000000,,,18524333.0,ns,39
Means,Par,1000000,,,19820708.0,ns,42
Means,Par,1000000,,,22647750.0,ns,45
Means,Par,1000000,,,23100458.0,ns,48
Means,Par,1000000,,,24495625.0,ns,51
Means,Par,1000000,,,26890459.0,ns,54
Means,Par,1000000,,,28080375.0,ns,57
Means,Par,1000000,,,28886541.0,ns,60
Means,Par,1000000,,,29797208.0,ns,63
Means,Par,1000000,,,32078417.0,ns,66
Means,Par,1000000,,,32923625.0,ns,69
Means,Par,1000000,,,34601791.0,ns,72
Means,Par,1000000,,,36455375.0,ns,75
Means,Par,1000000,,,38018958.0,ns,78
Means,Par,1000000,,,40200375.0,ns,81
Means,Par,1000000,,,40424417.0,ns,84
Means,Par,1000000,,,41976083.0,ns,87
Means,Par,1000000,,,44630666.0,ns,90
Means,Par,1000000,,,44674833.0,ns,93
Means,Par,1000000,,,45836084.0,ns,96
Means,Par,1000000,,,47158875.0,ns,99
Means,Par,1000000,,,49141334.0,ns,102
Means,Par,1000000,,,50008042.0,ns,105
Means,Par,1000000,,,52570042.0,ns,108
Means,Par,1000000,,,53465625.0,ns,111
Means,Par,1000000,,,55174417.0,ns,114
Means,Par,1000000,,,65676917.0,ns,117
Means,Par,1000000,,,60974667.0,ns,120
Means,Par,1000000,,,64783291.0,ns,123
Means,Par,1000000,,,58860125.0,ns,126
Means,Par,1000000,,,58376292.0,ns,129
Means,Par,1000000,,,59836959.0,ns,132
Means,Par,1000000,,,61013125.0,ns,135
Means,Par,1000000,,,64054625.0,ns,138
Means,Par,1000000,,,67720208.0,ns,141
Means,Par,1000000,,,67842667.0,ns,144
Means,Par,1000000,,,70558375.0,ns,147
Means,Par,1000000,,,70411250.0,ns,150
Means,Par,1000000,,,73087250.0,ns,153
Means,Par,1000000,,,76153000.0,ns,156
Means,Par,1000000,,,75773708.0,ns,159
Means,Par,1000000,,,76279584.0,ns,162
Means,Par,1000000,,,78885792.0,ns,165
Means,Par,1000000,,,80129834.0,ns,168
Means,Par,1000000,,,82154125.0,ns,171
Means,Par,1000000,,,83719875.0,ns,174
Means,Par,1000000,,,85757542.0,ns,177
Means,Par,1000000,,,86383042.0,ns,180
Means,Par,1000000,,,88989667.0,ns,183
Means,Par,1000000,,,88744292.0,ns,186
Means,Par,1000000,,,92442416.0,ns,189
Means,Par,1000000,,,94265125.0,ns,192
Means,Par,1000000,,,95457541.0,ns,195
Means,Par,1000000,,,94766458.0,ns,198
Means,Par,1000000,,,95833125.0,ns,201
Means,Par,1000000,,,98904375.0,ns,204
Means,Par,1000000,,,99862500.0,ns,207
Means,Par,1000000,,,103789250.0,ns,210
Means,Par,1000000,,,103413042.0,ns,213
Means,Par,1000000,,,103019792.0,ns,216
Means,Par,1000000,,,105233500.0,ns,219
Means,Par,1000000,,,105003459.0,ns,222
Means,Par,1000000,,,107016250.0,ns,225
Means,Par,1000000,,,108555792.0,ns,228
Means,Par,1000000,,,110610209.0,ns,231
Means,Par,1000000,,,113361333.0,ns,234
Means,Par,1000000,,,111586875.0,ns,237
